executionTs,nombreCandidato,PROFUNDIDAD_1,PROFUNDIDAD_2,PROFUNDIDAD_3,PROFUNDIDAD_4,contabilizadas,totalActas,totalVotosValidos,porcentajeVotosValidos,tipoFiltro,idAmbitoGeografico
2026-06-08T13:44:21.587864+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,4,4,269,49.54,ubigeo_nivel_03,1
2026-06-08T13:44:21.587864+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,4,4,274,50.46,ubigeo_nivel_03,1
2026-06-08T13:44:22.238900+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,8,8,659,46.084,ubigeo_nivel_03,1
2026-06-08T13:44:22.238900+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,8,8,771,53.916,ubigeo_nivel_03,1
2026-06-08T13:44:22.887086+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,3,3,156,35.945,ubigeo_nivel_03,1
2026-06-08T13:44:22.887086+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,3,3,278,64.055,ubigeo_nivel_03,1
2026-06-08T13:44:23.489434+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,OLLEROS,2,2,87,31.636,ubigeo_nivel_03,1
2026-06-08T13:44:23.489434+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,OLLEROS,2,2,188,68.364,ubigeo_nivel_03,1
2026-06-08T13:44:24.135877+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,QUINJALCA,3,4,101,27.297,ubigeo_nivel_03,1
2026-06-08T13:44:24.135877+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,QUINJALCA,3,4,269,72.703,ubigeo_nivel_03,1
2026-06-08T13:44:24.777202+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,2,2,121,44.485,ubigeo_nivel_03,1
2026-06-08T13:44:24.777202+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,2,2,151,55.515,ubigeo_nivel_03,1
2026-06-08T13:44:25.459682+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,3,3,242,48.111,ubigeo_nivel_03,1
2026-06-08T13:44:25.459682+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,3,3,261,51.889,ubigeo_nivel_03,1
2026-06-08T13:44:26.117748+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,SOLOCO,6,6,390,41.314,ubigeo_nivel_03,1
2026-06-08T13:44:26.117748+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,SOLOCO,6,6,554,58.686,ubigeo_nivel_03,1
